主题,BenchmarkIQ字段,中文名,Tushare来源,状态
"盈利","roa","总资产收益率","fina_indicator.roa","✓ 直接映射"
"盈利","roe","净资产收益率","fina_indicator.roe","✓ 直接映射"
"盈利","netProfit","净利润","income.n_income / income.income_attr_p","✓ 直接映射"
"盈利","netProfitGrowth","净利润增速","fina_indicator.netprofit_yoy 或自行计算","✓ 直接映射"
"盈利","ppop","拨备前利润","需推导: income.total_profit + income.assets_impair_loss","🔧 需推导"
"盈利","ppopGrowth","拨备前利润增速","需推导，由 ppop 自行计算 yoy","🔧 需推导"
"盈利","revenue","营业收入","income.revenue","✓ 直接映射"
"盈利","revenueGrowth","营业收入增速","fina_indicator.tr_yoy","✓ 直接映射"
"盈利","coreRevenue","核心营收","需推导: 利息净收入 + 手续费净收入","🔧 需推导"
"盈利","coreRevenueGrowth","核心营收增速","需推导","🔧 需推导"
"盈利","basicEps","基本每股收益","fina_indicator.eps","✓ 直接映射"
"息差","nim","净息差","需推导: 利息净收入 / 平均生息资产 (Tushare 无现成 NIM 字段)","🔧 需推导"
"息差","earningAssets","生息资产","需从 balancesheet 多字段推导","🔧 需推导"
"息差","earningAssetYield","生息资产收益率","需推导","🔧 需推导"
"息差","interestLiabilities","计息负债","需推导","🔧 需推导"
"息差","interestLiabilityCost","计息负债成本率","需推导","🔧 需推导"
"息差","netInterestIncome","利息净收入","income.n_oth_int_inc 或 int_income - int_exp","✓ 直接映射"
"息差","interestIncome","利息收入","income.int_income","✓ 直接映射"
"息差","interestExpense","利息支出","income.int_exp","✓ 直接映射"
"非息","feeIncome","手续费及佣金净收入","income.n_commis_income","✓ 直接映射"
"非息","feeRevenueShare","手续费收入占比","需推导: n_commis_income / revenue","🔧 需推导"
"非息","nonInterestShare","非息收入占比","需推导","🔧 需推导"
"非息","netInterestRevenueShare","利息净收入占比","需推导","🔧 需推导"
"非息","trueCoreNonInterest","真实核心非息占比","需推导","🔧 需推导"
"非息","volatileIncomeShare","高波动收入占比","需推导","🔧 需推导"
"资产负债","assets","总资产","balancesheet.total_assets","✓ 直接映射"
"资产负债","liabilities","总负债","balancesheet.total_liab","✓ 直接映射"
"资产负债","equity","股东权益","balancesheet.total_hldr_eqy_inc_min_int","✓ 直接映射"
"资产负债","loans","发放贷款和垫款","需 balancesheet 推导 (Tushare 字段非银行专属命名)","🔧 需推导"
"资产负债","deposits","吸收存款","需 balancesheet 推导","🔧 需推导"
"资产负债","assetGrowth","总资产增速","fina_indicator.assets_yoy","✓ 直接映射"
"资产负债","assetsChange","总资产变化","自行计算","✓ 直接映射"
"资产负债","loanAssetRatio","贷款/资产","需推导","🔧 需推导"
"资产负债","depositLiabilityRatio","存款/负债","需推导","🔧 需推导"
"资本","cet1","核心一级资本充足率","❌ Tushare 三大报表不直接披露，需年报附注或手工","❌ 缺失"
"资本","cet1Change","核心一级资本变化","需推导","🔧 需推导"
"资本","carBuffer","资本充足率余量","❌ 同上","❌ 缺失"
"资本","estimatedRwa","估算风险加权资产","❌ 同上，可用代理","❌ 缺失"
"资本","rwaDensity","RWA密度","❌ 需 RWA + 总资产","❌ 缺失"
"资产质量","npl","不良率","❌ 银行年报独立披露，Tushare 三大报表无","❌ 缺失"
"资产质量","provisionCoverage","拨备覆盖率","❌ 同上","❌ 缺失"
"资产质量","overdueRatio","逾期贷款率","❌ 同上","❌ 缺失"
"资产质量","specialMentionRatio","关注类贷款占比","❌ 同上","❌ 缺失"
"资产质量","provisionCoverageChange","拨备覆盖率变化","❌","❌ 缺失"
"资产质量","overdueNplDeviation","逾期不良偏离度","❌","❌ 缺失"
"资产质量","hiddenNplExposure","隐性不良暴露率","❌ 需逾期数据","❌ 缺失"
"资产质量","retailRiskMax","零售最高分项不良率","❌ 需细分披露","❌ 缺失"
"市场估值","pb","年末市净率","daily_basic.pb","✓ 直接映射"
"市场估值","pbMid","年中市净率","daily_basic 取 6 月底","✓ 直接映射"
"市场估值","theoreticalPb","DDM 理论 PB","需自建 DDM 模型","✓ 直接映射"
"市场估值","pbDiscount","PB 估值偏离","需推导","🔧 需推导"
"市场估值","economicProfit","经济利润","需推导: 净利润 - 权益 × 资本成本","🔧 需推导"
"成本效率","costIncomeRatio","成本收入比","需推导: 业务及管理费 / 营业收入","🔧 需推导"
"成本效率","adminExpense","管理费用","income.biz_tax_surchg 或 oper_exp","✓ 直接映射"
"成本效率","adminAssetRatio","管理费用/资产","需推导","🔧 需推导"
"成本效率","cashProfitRatio","经营现金流/净利润","需推导","🔧 需推导"
"成本效率","operatingCashFlow","经营活动现金流净额","cashflow.n_cashflow_act","✓ 直接映射"
"存款细分","corporateDeposit","公司存款","❌ 银行年报存款分项","❌ 缺失"
"存款细分","personalDeposit","个人存款","❌","❌ 缺失"
"存款细分","demandDepositShare","活期存款占比","❌","❌ 缺失"
"存款细分","timeDepositShare","定期存款占比","❌","❌ 缺失"
"贷款细分","corporateLoanNpl","对公贷款不良率","❌","❌ 缺失"
"贷款细分","personalLoanNpl","个贷不良率","❌","❌ 缺失"
"贷款细分","housingLoanShare","住房贷款占比","❌","❌ 缺失"
"贷款细分","consumerLoanShare","消费贷款占比","❌","❌ 缺失"
"贷款细分","businessLoanShare","经营贷款占比","❌","❌ 缺失"
"其他","investmentAssetRatio","债券基金信托理财/资产","需 balancesheet 推导","🔧 需推导"
"其他","bondInvestment","债券投资","balancesheet 推导","🔧 需推导"
"其他","liquidityRatio","流动性比率","❌ 监管报表","❌ 缺失"
"其他","liquidityCoverageRatio","流动性覆盖率","❌ 监管报表","❌ 缺失"
