metric_code,metric_name,theme,is_critical,source_type,source_detail
incomeTax,所得税,利润表详情(万元),False,✓ 直接映射,income.income_tax
interestExpense,利息支出,利润表详情(万元),False,✓ 直接映射,income.int_exp
interestIncome,利息收入,利润表详情(万元),False,✓ 直接映射,income.int_income
netProfit,净利润,盈利概览(万元),False,✓ 直接映射,income.n_income
revenue,营业收入,盈利概览(万元),False,✓ 直接映射,income.revenue
adminExpense,管理费用,盈利质量,False,✓ 直接映射,income.biz_tax_surchg
equity,股东权益,资产负债(万元),False,✓ 直接映射,balancesheet.total_hldr_eqy_inc_min_int
realLoanDepositSpread,真实存贷利差,息差负债,False,🔧 需推导,BQ 现有源字段: 真实存贷利差
bondInvestment,债券投资,投资结构,False,🔧 需推导,BQ 现有源字段: 债券合计
fundInvestment,基金投资,投资结构,False,🔧 需推导,BQ 现有源字段: 基金
trustWmInvestment,信托及理财投资,投资结构,False,🔧 需推导,BQ 现有源字段: 信托及理财
nonInterestShare,非息占比%,盈利指标,False,🔧 需推导,BQ 现有源字段: 非息占比%
roe,ROE%,盈利指标,False,🔧 需推导,BQ 现有源字段: ROE%
coreRevenue,核心营收,盈利概览(万元),False,🔧 需推导,BQ 现有源字段: 核心营收
feeIncome,手续费净收入,盈利概览(万元),False,🔧 需推导,BQ 现有源字段: 手续费净收入
netInterestIncome,净利息收入,盈利概览(万元),False,🔧 需推导,BQ 现有源字段: 净利息收入
netProfitGrowth,净利润增速%,盈利概览(万元),False,🔧 需推导,BQ 现有源字段: 净利润增速%
ppop,PPOP,盈利概览(万元),False,🔧 需推导,BQ 现有源字段: PPOP
ppopGrowth,PPOP增速%,盈利概览(万元),False,🔧 需推导,BQ 现有源字段: PPOP增速%
revenueGrowth,营业收入增速%,盈利概览(万元),False,🔧 需推导,BQ 现有源字段: 营业收入增速%
coreRevenueGrowth,核心营收增速,盈利质量,True,🔧 需推导,BQ 现有源字段: 核心营收增速%
operatingCashFlow,经营活动现金流净额,盈利质量,False,🔧 需推导,BQ 现有源字段: 经营活动净额
