metric_code,metric_name,theme,direction,unit,source_group,source_field,formula,is_derived,is_critical,used_in_warning,missing_policy
incomeTax,所得税,利润表详情(万元),contextual,万元,利润表详情(万元),所得税,源字段直取,False,False,False,保留空值，不用均值替代目标银行
interestExpense,利息支出,利润表详情(万元),contextual,万元,利润表详情(万元),利息支出,源字段直取,False,False,False,保留空值，不用均值替代目标银行
interestIncome,利息收入,利润表详情(万元),contextual,万元,利润表详情(万元),利息收入,源字段直取,False,False,False,保留空值，不用均值替代目标银行
corporateTimeDeposit,公司定期,存款结构(万元),contextual,万元,存款结构(万元),公司定期,源字段直取,False,False,False,保留空值，不用均值替代目标银行
personalTimeDeposit,个人定期,存款结构(万元),contextual,万元,存款结构(万元),个人定期,源字段直取,False,False,False,保留空值，不用均值替代目标银行
earningAssetYield,生息资产收益率,息差负债,higherBetter,%,息差分析,生息资产收益率%,源字段直取,False,False,False,保留空值，不用均值替代目标银行
interestLiabilityCost,计息负债成本率,息差负债,lowerBetter,%,息差分析,计息负债成本率%,源字段直取,False,False,True,保留空值，不用均值替代目标银行
nim,净息差,息差负债,higherBetter,%,盈利指标,NIM%,源字段直取,False,True,True,保留空值，不用均值替代目标银行
nimGapBp,息差对冲缺口,息差负债,lowerBetter,bp,派生,,(当年生息资产收益率变化 - 当年计息负债成本率变化) * 100,True,False,False,依赖字段缺失则为空，图表自动切换或提示
nimGapPoint,NIM缺口,息差负债,lowerBetter,百分点,息差分析,NIM_Gap百分点,源字段直取,False,False,False,保留空值，不用均值替代目标银行
realLoanDepositSpread,真实存贷利差,息差负债,higherBetter,,息差分析,真实存贷利差,源字段直取,False,False,False,保留空值，不用均值替代目标银行
timeDepositShare,定期存款占比,息差负债,lowerBetter,%,派生,,(公司定期 + 个人定期) / 存款总额 * 100,True,False,False,依赖字段缺失则为空，图表自动切换或提示
bondInvestment,债券投资,投资结构,contextual,万元,金融投资分布(万元),债券合计,源字段直取,False,False,False,保留空值，不用均值替代目标银行
fundInvestment,基金投资,投资结构,contextual,万元,金融投资分布(万元),基金,源字段直取,False,False,False,保留空值，不用均值替代目标银行
trustWmInvestment,信托及理财投资,投资结构,lowerBetter,万元,金融投资分布(万元),信托及理财,源字段直取,False,False,False,保留空值，不用均值替代目标银行
liquidityCoverageRatio,流动性覆盖率,流动性,higherBetter,%,流动性指标,流动性覆盖率%,源字段直取,False,True,True,保留空值，不用均值替代目标银行
liquidityRatio,流动性比率,流动性,higherBetter,%,流动性指标,流动性比率%,源字段直取,False,False,False,保留空值，不用均值替代目标银行
nonInterestShare,非息占比%,盈利指标,contextual,%,盈利指标,非息占比%,源字段直取,False,False,False,保留空值，不用均值替代目标银行
roe,ROE%,盈利指标,contextual,%,盈利指标,ROE%,源字段直取,False,False,False,保留空值，不用均值替代目标银行
coreRevenue,核心营收,盈利概览(万元),contextual,万元,盈利概览(万元),核心营收,源字段直取,False,False,True,保留空值，不用均值替代目标银行
feeIncome,手续费净收入,盈利概览(万元),contextual,万元,盈利概览(万元),手续费净收入,源字段直取,False,False,False,保留空值，不用均值替代目标银行
netInterestIncome,净利息收入,盈利概览(万元),contextual,万元,盈利概览(万元),净利息收入,源字段直取,False,False,False,保留空值，不用均值替代目标银行
netProfit,净利润,盈利概览(万元),contextual,万元,盈利概览(万元),净利润,源字段直取,False,False,False,保留空值，不用均值替代目标银行
netProfitGrowth,净利润增速%,盈利概览(万元),contextual,万元,盈利概览(万元),净利润增速%,源字段直取,False,False,False,保留空值，不用均值替代目标银行
ppop,PPOP,盈利概览(万元),contextual,万元,盈利概览(万元),PPOP,源字段直取,False,False,False,保留空值，不用均值替代目标银行
ppopGrowth,PPOP增速%,盈利概览(万元),contextual,万元,盈利概览(万元),PPOP增速%,源字段直取,False,False,False,保留空值，不用均值替代目标银行
revenue,营业收入,盈利概览(万元),contextual,万元,盈利概览(万元),营业收入,源字段直取,False,False,False,保留空值，不用均值替代目标银行
revenueGrowth,营业收入增速%,盈利概览(万元),contextual,万元,盈利概览(万元),营业收入增速%,源字段直取,False,False,False,保留空值，不用均值替代目标银行
adminExpense,管理费用,盈利质量,lowerBetter,万元,利润表详情(万元),管理费用,源字段直取,False,False,False,保留空值，不用均值替代目标银行
coreRevenueGrowth,核心营收增速,盈利质量,higherBetter,万元,盈利概览(万元),核心营收增速%,源字段直取,False,True,True,保留空值，不用均值替代目标银行
feeAssetRatio,手续费资产比,盈利质量,higherBetter,%,派生,,手续费净收入 / 资产总计 * 100,True,True,True,依赖字段缺失则为空，图表自动切换或提示
operatingCashFlow,经营活动现金流净额,盈利质量,higherBetter,万元,现金流量(万元),经营活动净额,源字段直取,False,False,False,保留空值，不用均值替代目标银行
roa,总资产收益率,盈利质量,higherBetter,%,盈利指标,ROA%,源字段直取,False,True,True,保留空值，不用均值替代目标银行
trueCoreNonInterest,真实核心非息占比,盈利质量,higherBetter,%,盈利指标,真实核心非息%,源字段直取,False,False,True,保留空值，不用均值替代目标银行
volatileIncomeShare,高波动收入占比,盈利质量,lowerBetter,%,盈利指标,高波动收入%,源字段直取,False,False,True,保留空值，不用均值替代目标银行
assets,资产总计,资产负债(万元),contextual,万元,资产负债(万元),资产总计,源字段直取,False,False,False,保留空值，不用均值替代目标银行
deposits,存款总额,资产负债(万元),contextual,万元,资产负债(万元),存款总额,源字段直取,False,False,False,保留空值，不用均值替代目标银行
equity,股东权益,资产负债(万元),contextual,万元,资产负债(万元),股东权益,源字段直取,False,False,False,保留空值，不用均值替代目标银行
liabilities,负债合计,资产负债(万元),contextual,万元,资产负债(万元),负债合计,源字段直取,False,False,False,保留空值，不用均值替代目标银行
loans,贷款总额,资产负债(万元),contextual,万元,资产负债(万元),贷款总额,源字段直取,False,False,False,保留空值，不用均值替代目标银行
overdueRatio,逾期率%,资产质量,contextual,%,资产质量,逾期率%,源字段直取,False,False,False,保留空值，不用均值替代目标银行
specialMentionRatio,关注率%,资产质量,contextual,%,资产质量,关注率%,源字段直取,False,False,False,保留空值，不用均值替代目标银行
basicEps,基本每股收益,资本估值,higherBetter,元,每股指标,基本EPS(元),源字段直取,False,False,False,保留空值，不用均值替代目标银行
carBuffer,资本充足率余量,资本估值,higherBetter,bp,资本充足率,资本充足余量bp,源字段直取,False,True,False,保留空值，不用均值替代目标银行
cet1Buffer,核心一级资本余量,资本估值,higherBetter,bp,资本充足率,CET1余量bp,源字段直取,False,True,True,保留空值，不用均值替代目标银行
costIncomeRatio,成本收入比,资本估值,lowerBetter,%,盈利指标,成本收入比%,源字段直取,False,False,False,保留空值，不用均值替代目标银行
