bank,year,metric,metricName,mainValue,tushareValue,scrapedValue,selectedSource,scrapedSource,relatedScrapedTables,verificationStatus,differenceAbs,differencePct,managementAction
中国银行,2025,roa,总资产收益率,0.7026,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
中国银行,2025,roe,净资产收益率,8.94,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
中国银行,2025,costIncomeRatio,成本收入比,27.84,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
中国银行,2025,nim,净息差,1.26,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
中国银行,2025,npl,不良贷款率,1.23,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
中国银行,2025,provisionCoverage,拨备覆盖率,200.37,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
中国银行,2025,cet1,核心一级资本充足率,12.53,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
中国银行,2025,liquidityCoverageRatio,流动性覆盖率,150.6,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
交通银行,2025,roa,总资产收益率,0.6339,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
交通银行,2025,roe,净资产收益率,8.38,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
交通银行,2025,costIncomeRatio,成本收入比,29.3,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
交通银行,2025,nim,净息差,1.2,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
交通银行,2025,npl,不良贷款率,1.28,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
交通银行,2025,provisionCoverage,拨备覆盖率,208.38,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
交通银行,2025,cet1,核心一级资本充足率,11.43,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
交通银行,2025,liquidityCoverageRatio,流动性覆盖率,123.02,,,main,,,main_only,,,主表已有值，核验源暂缺；正式报告保留主数据口径说明。
